treatment,question,rep_id,fdom_env_count,fdom_phenotype_score,fdom_max_phenotype_score,fdom_norm_phenotype_score,fdom_gestation_time,fdom_genome_length,-1000_phenotype_score,min_genome_size,fancy_name
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_206,512,3584,4608,77.7777777778,311.0,167.0,3584,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_243,512,0,4608,0.0,70.0,62.0,0,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_234,512,3584,4608,77.7777777778,1246.0,578.0,3584,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_249,512,2560,4608,55.5555555556,516.0,266.0,2560,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_215,512,4096,4608,88.8888888889,1512.5,748.0,4096,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_250,512,2560,4608,55.5555555556,1403.5,606.0,2560,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_227,512,0,4608,0.0,73.0,35.0,3072,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_220,512,2560,4608,55.5555555556,1756.0,791.0,2560,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_218,512,2560,4608,55.5555555556,1501.5,641.0,2560,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_212,512,2176,4608,47.2222222222,727.0,357.0,2176,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_233,512,3584,4608,77.7777777778,1450.5,707.0,3584,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_244,512,0,4608,0.0,80.0,72.0,0,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_239,512,0,4608,0.0,79.0,71.0,0,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_201,512,2560,4608,55.5555555556,392.0,208.0,2560,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_205,512,2816,4608,61.1111111111,1695.75,769.0,3072,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_237,512,1536,4608,33.3333333333,1427.0,608.0,1536,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_240,512,0,4608,0.0,75.0,66.0,0,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_216,512,3072,4608,66.6666666667,1690.5,738.0,3072,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_224,512,3072,4608,66.6666666667,1480.5,599.0,3072,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_223,512,0,4608,0.0,64.0,57.0,0,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_229,512,0,4608,0.0,61.0,54.0,0,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_211,512,0,4608,0.0,61.0,53.0,0,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_247,512,1536,4608,33.3333333333,464.0,246.0,1536,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_230,512,0,4608,0.0,68.0,60.0,0,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_208,512,2560,4608,55.5555555556,199.0,111.0,2560,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_202,512,0,4608,0.0,74.0,65.0,0,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_238,512,0,4608,0.0,61.0,53.0,0,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_245,512,0,4608,0.0,71.0,63.0,0,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_232,512,0,4608,0.0,52.0,45.0,0,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_221,512,0,4608,0.0,58.0,50.0,0,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_213,512,2560,4608,55.5555555556,1252.0,520.0,2560,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_219,512,0,4608,0.0,67.0,59.0,0,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_214,512,0,4608,0.0,83.0,74.0,0,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_226,512,0,4608,0.0,62.0,55.0,0,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_207,512,1536,4608,33.3333333333,1579.0,824.0,1536,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_248,512,0,4608,0.0,61.0,53.0,0,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_235,512,2560,4608,55.5555555556,649.5,303.0,2560,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_242,512,2560,4608,55.5555555556,595.0,281.0,2560,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_231,512,0,4608,0.0,69.0,61.0,0,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_246,512,0,4608,0.0,59.0,52.0,0,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_203,512,3072,4608,66.6666666667,1370.0,559.0,3072,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_209,512,2560,4608,55.5555555556,1421.125,662.0,3072,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_228,512,2560,4608,55.5555555556,1205.75,532.0,2560,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_222,512,0,4608,0.0,78.0,70.0,0,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_210,512,3328,4608,72.2222222222,412.0,221.0,3328,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_217,512,0,4608,0.0,86.0,76.0,0,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_225,512,0,4608,0.0,66.0,59.0,0,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_204,512,0,4608,0.0,92.0,82.0,0,0,Slip-duplicate
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_241,512,1536,4608,33.3333333333,1755.0,695.0,1536,0,Slip-duplicate
